sku_id,sku_display_name,year,month,total_units,total_net_sales,avg_discount,promo_frequency,year_month,launch_date,product_age_months,sales_growth_pct,rolling_avg_sales_3m,peak_sales,drop_from_peak_pct,consecutive_negative_growth,sales_std_dev,coefficient_of_variation,rolling_trend,lifecycle_stage
SKU0001,FreshNest Soda,2021,1,49190,284036.07,0.05,0.3225806451612903,2021-01-01,2021-01-01,0,,284036.07,413247.13,0.0,0,56812.9095989936,0.19449661792088965,0.0,Introduction
SKU0001,FreshNest Soda,2021,2,42362,249795.67,0.03571428571428571,0.25,2021-02-01,2021-01-01,1,-12.054947809973571,266915.87,413247.13,0.0,1,56812.9095989936,0.19449661792088965,-17120.20000000001,Introduction
SKU0001,FreshNest Soda,2021,3,47504,273736.62,0.0467741935483871,0.25806451612903225,2021-03-01,2021-01-01,2,9.584213369270955,269189.4533333333,413247.13,0.0,0,56812.9095989936,0.19449661792088965,2273.583333333314,Introduction
SKU0001,FreshNest Soda,2021,4,43922,256748.55,0.04,0.23333333333333334,2021-04-01,2021-01-01,3,-6.205990999669686,260093.6133333333,413247.13,0.0,1,56812.9095989936,0.19449661792088965,-9095.839999999997,Introduction
SKU0001,FreshNest Soda,2021,5,50141,280299.25,0.07258064516129033,0.3225806451612903,2021-05-01,2021-01-01,4,9.172671082270956,270261.4733333333,413247.13,0.0,0,56812.9095989936,0.19449661792088965,10167.860000000015,Introduction
SKU0001,FreshNest Soda,2021,6,60077,363525.87,0.02,0.13333333333333333,2021-06-01,2021-01-01,5,29.692059468585796,300191.2233333333,413247.13,0.0,0,56812.9095989936,0.19449661792088965,29929.75,Introduction
SKU0001,FreshNest Soda,2021,7,63525,381134.5,0.024193548387096774,0.16129032258064516,2021-07-01,2021-01-01,6,4.843845088659027,341653.2066666666,413247.13,0.0,0,56812.9095989936,0.19449661792088965,41461.98333333328,Introduction
SKU0001,FreshNest Soda,2021,8,70848,413247.13,0.04193548387096774,0.25806451612903225,2021-08-01,2021-01-01,7,8.425537441506869,385969.1666666667,413247.13,0.0,0,56812.9095989936,0.19449661792088965,44315.96000000008,Growth
SKU0001,FreshNest Soda,2021,9,41533,248584.12,0.02666666666666667,0.16666666666666666,2021-09-01,2021-01-01,8,-39.84613516856125,347655.25,413247.13,-39.84613516856125,1,56812.9095989936,0.19449661792088965,-38313.916666666686,Maturity
SKU0001,FreshNest Soda,2021,10,43840,262135.87,0.024193548387096774,0.16129032258064516,2021-10-01,2021-01-01,9,5.451575104636608,307989.04,413247.13,-36.56680204893377,0,56812.9095989936,0.19449661792088965,-39666.21000000002,Maturity
SKU0001,FreshNest Soda,2021,11,42530,253880.63,0.02666666666666667,0.16666666666666666,2021-11-01,2021-01-01,10,-3.149221813863168,254866.8733333333,413247.13,-38.56445415603975,1,56812.9095989936,0.19449661792088965,-53122.166666666686,Maturity
SKU0001,FreshNest Soda,2021,12,44061,257372.56,0.035483870967741936,0.16129032258064516,2021-12-01,2021-01-01,11,1.375421984733527,257796.3533333333,413247.13,-37.71945615206088,0,56812.9095989936,0.19449661792088965,2929.4800000000105,Growth
SKU0001,FreshNest Soda,2022,1,43893,259937.5,0.03225806451612903,0.16129032258064516,2022-01-01,2021-01-01,12,0.9965864270845337,257063.56333333332,413247.13,-37.098776705357885,0,56812.9095989936,0.19449661792088965,-732.789999999979,Maturity
SKU0001,FreshNest Soda,2022,2,37504,228841.42,0.014285714285714287,0.10714285714285714,2022-02-01,2021-01-01,13,-11.962906467900936,248717.16,413247.13,-44.623591215261435,1,56812.9095989936,0.19449661792088965,-8346.403333333321,Maturity
SKU0001,FreshNest Soda,2022,3,45492,266378.77,0.03870967741935484,0.22580645161290322,2022-03-01,2021-01-01,14,16.403214942469766,251719.22999999998,413247.13,-35.540079854880055,0,56812.9095989936,0.19449661792088965,3002.069999999978,Growth
SKU0001,FreshNest Soda,2022,4,41297,245877.82,0.02666666666666667,0.16666666666666666,2022-04-01,2021-01-01,15,-7.696165126072174,247032.67,413247.13,-40.50102174938275,1,56812.9095989936,0.19449661792088965,-4686.559999999969,Maturity
SKU0001,FreshNest Soda,2022,5,42534,257232.79,0.01935483870967742,0.12903225806451613,2022-05-01,2021-01-01,16,4.618135137199442,256496.46,413247.13,-37.75327852851634,0,56812.9095989936,0.19449661792088965,9463.789999999979,Growth
